Meeting Title,URL,Congress,Chamber,Meeting Date,Committee
"United Nations (UN) FY22 Budget Request",https://www.congress.gov/event/117th-congress/house-event/112723,117th,"House of Representatives",2021-06-08T17:30:00Z,"House Appropriations"
"Department of State and Related Programs FY22 Budget Request",https://www.congress.gov/event/117th-congress/house-event/112707,117th,"House of Representatives",2021-06-07T18:30:00Z,"House Appropriations"
"Small Business Administration Oversight Hearing",https://www.congress.gov/event/117th-congress/house-event/112694,117th,"House of Representatives",2021-05-28T14:00:00Z,"House Appropriations"
"Fiscal Year 2022 Department of Defense Budget",https://www.congress.gov/event/117th-congress/house-event/112682,117th,"House of Representatives",2021-05-27T17:00:00Z,"House Appropriations"
"Department of the Treasury Oversight Hearing",https://www.congress.gov/event/117th-congress/house-event/112693,117th,"House of Representatives",2021-05-27T15:00:00Z,"House Appropriations"
"United States Agency for International Development (USAID) FY22 Budget Request",https://www.congress.gov/event/117th-congress/house-event/112709,117th,"House of Representatives",2021-05-27T15:00:00Z,"House Appropriations"
"Securities and Exchange Commission Oversight Hearing",https://www.congress.gov/event/117th-congress/house-event/112692,117th,"House of Representatives",2021-05-26T18:00:00Z,"House Appropriations"
"Defense Environmental Restoration",https://www.congress.gov/event/117th-congress/house-event/112668,117th,"House of Representatives",2021-05-26T17:00:00Z,"House Appropriations"
"Department of Homeland Security Resource Management and Operational Priorities",https://www.congress.gov/event/117th-congress/house-event/112695,117th,"House of Representatives",2021-05-26T14:00:00Z,"House Appropriations"
"FY 2022 Budget Request for the Centers for Disease Control and Prevention",https://www.congress.gov/event/117th-congress/house-event/112679,117th,"House of Representatives",2021-05-26T14:00:00Z,"House Appropriations"
